employee_id,first_name,last_name,employment_start_date,employment_end_date,employment_status,employment_type,position,career_level,start_reason,end_reason,offboarding_date,departure_type,leaving_reason,exit_satisfaction,would_recommend,would_return,rehire_eligible
DUD000001,Robert,Davis,2021-10-30,NULL,Active,Full-time,HR Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000002,Daniel,Moore,2024-07-17,NULL,Active,Full-time,Manager,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000003,Luis,Williams,2025-02-06,NULL,Active,Full-time,Recruiter,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000004,Sarah,Hall,2024-10-29,NULL,Active,Full-time,HR Staff,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000005,Diego,Martin,2024-08-02,NULL,Active,Full-time,HR Staff,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000006,Laura,Wilson,2020-08-28,NULL,Active,Full-time,Recruiter,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000007,Marco,Young,2022-06-06,NULL,Active,Full-time,Client Relations,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000008,David,Lopez,2023-11-05,NULL,Active,Full-time,Manager,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000009,Sarah,Martin,2023-01-29,NULL,Active,Full-time,Client Relations,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000010,Jose,White,2020-10-03,NULL,Active,Full-time,Client Relations,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000011,Ana,Allen,2020-12-31,NULL,Active,Full-time,Recruiter,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000012,Andres,Wilson,2025-11-27,NULL,Active,Full-time,Administrator,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000013,Sarah,Brown,2025-11-03,NULL,Active,Full-time,Recruiter,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000014,Christopher,Miller,2020-09-29,NULL,Active,Full-time,HR Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000015,James,Davis,2023-04-20,NULL,Active,Full-time,HR Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000016,Matthew,Smith,2025-07-22,NULL,Active,Full-time,Client Relations,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000017,David,Torres,2021-03-22,NULL,Active,Full-time,Dispatch Staff,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000018,Daniel,Lopez,2022-01-15,NULL,Active,Full-time,Administrator,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000019,Sofia,Martinez,2021-05-12,NULL,Active,Full-time,Client Relations,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000020,Juan,Garcia,2025-05-20,NULL,Active,Full-time,Manager,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000021,Matthew,Ramirez,2020-04-25,NULL,Active,Full-time,Dispatch Staff,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000022,Hannah,Miller,2024-04-26,NULL,Active,Full-time,Client Relations,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000023,Daniel,Walker,2023-02-07,NULL,Active,Full-time,Recruiter,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000024,Miguel,Brown,2025-11-13,NULL,Active,Full-time,Administrator,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000025,Laura,Wilson,2021-06-02,NULL,Active,Full-time,Client Relations,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000026,Matthew,Hernandez,2022-12-24,NULL,Active,Full-time,Manager,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
