candidate_id,first_name,last_name,date_of_birth,gender,country_of_origin,education_level,english_proficiency,japanese_proficiency,current_prefecture,current_city
CAND000001,Jessica,Davis,1990-10-01,Female,USA,Bachelor's Degree,5,2,Saitama,Saitama
CAND000002,Liam,Anderson,1995-11-13,Male,Australia,Bachelor's Degree,5,3,Kanagawa,Yamato
CAND000003,Niamh,O'Brien,1972-08-03,Female,Ireland,Master's Degree,5,1,Chiba,Matsudo
CAND000004,Sarah,Miller,1987-05-10,Female,USA,Bachelor's Degree,5,1,Saitama,Kawagoe
CAND000005,Michael,Johnson,1972-10-03,Female,USA,Master's Degree,5,2,Tokyo,Setagaya
CAND000006,James,Anderson,1974-03-22,Female,USA,Master's Degree,5,1,Tokyo,Itabashi
CAND000007,Diego,López,1975-09-01,Female,Mexico,Master's Degree,5,1,Chiba,Chiba
CAND000008,Joshua,Aquino,1994-10-05,Female,Philippines,Bachelor's Degree,5,1,Tokyo,Itabashi
CAND000009,Patrick,Ryan,1986-01-24,Female,Ireland,Bachelor's Degree,5,2,Tokyo,Koto
CAND000010,Sophie,Evans,1989-11-16,Male,UK,Bachelor's Degree,5,3,Tokyo,Setagaya
CAND000011,Oliver,King,2002-12-14,Female,New Zealand,Bachelor's Degree,5,1,Chiba,Ichikawa
CAND000012,Lucas,Anderson,1985-04-02,Male,Canada,Master's Degree,5,1,Tokyo,Shinjuku
CAND000013,Jessica,Davis,1978-09-14,Male,USA,Master's Degree,5,2,Saitama,Soka
CAND000014,Jack,Taylor,1985-07-26,Male,Australia,Bachelor's Degree,5,2,Saitama,Tokorozawa
CAND000015,Ciara,Walsh,1983-06-15,Female,Ireland,Bachelor's Degree,5,4,Tokyo,Edogawa
CAND000016,Ananya,Singh,1972-09-21,Female,India,Bachelor's Degree,3,3,Tokyo,Shinjuku
CAND000017,Ha-eun,Jung,1995-12-21,Female,South Korea,Bachelor's Degree,5,1,Tokyo,Tachikawa
CAND000018,Jessica,Davis,1975-08-03,Female,USA,Bachelor's Degree,5,2,Tokyo,Ota
CAND000019,Sarah,Miller,1984-09-24,Female,USA,Bachelor's Degree,5,2,Saitama,Kawagoe
CAND000020,Michael,Johnson,1982-01-12,Female,USA,Bachelor's Degree,5,3,Kanagawa,Atsugi
CAND000021,Jack,Taylor,1984-05-09,Female,Australia,Bachelor's Degree,5,4,Chiba,Matsudo
CAND000022,James,Anderson,1983-06-01,Male,USA,Master's Degree,5,3,Kanagawa,Fujisawa
CAND000023,Patricia,Mendoza,1994-08-21,Male,Philippines,Bachelor's Degree,5,1,Chiba,Kashiwa
CAND000024,Luis,González,1997-03-14,Female,Mexico,Master's Degree,5,3,Saitama,Saitama
CAND000025,Emily,Carter,1981-06-30,Female,USA,Bachelor's Degree,5,1,Kanagawa,Sagamihara
CAND000026,Amelia,Taylor,1992-05-15,Male,UK,Bachelor's Degree,5,1,Chiba,Ichikawa
