employee_id,employee_type,first_name,last_name,date_of_birth,gender,country_of_origin,education_level,home_prefecture,home_city,english_proficiency,japanese_proficiency,hire_date,employment_start_date,employment_status,recruitment_source,initial_position,initial_level,current_position,current_level,current_salary
DUD000001,Head Office,Ayumi,Nakamura,1987-05-04,Female,Japan,Bachelor's Degree,Saitama,Saitama,4,4,2019-11-15,2019-11-15,Active,International Recruitment,Operations,,HR Staff,,
DUD000002,Head Office,Hiroshi,Watanabe,1979-03-16,Female,Japan,Bachelor's Degree,Saitama,Hachioji,4,4,2021-08-12,2021-08-12,Active,Indeed,Operations,,Finance,,
DUD000003,Head Office,Yuki,Tanaka,1975-04-17,Female,Japan,Bachelor's Degree,Kanagawa,Ichikawa,4,4,2021-10-06,2021-10-06,Active,LinkedIn,Recruitment Staff,,Administration,,
DUD000004,Head Office,Kenji,Sato,1991-02-07,Male,Japan,Bachelor's Degree,Chiba,Tachikawa,4,4,2019-10-07,2019-10-07,Active,Social Media,HR Staff,,Finance,,
DUD000005,Head Office,Kenji,Sato,1991-03-23,Female,Japan,Bachelor's Degree,Tokyo,Edogawa,4,4,2022-05-05,2022-05-05,Active,Recruitment Agency,HR Staff,,Recruitment Staff,,
DUD000006,Head Office,Kenji,Sato,1991-05-14,Female,Japan,Bachelor's Degree,Chiba,Funabashi,4,4,2021-05-18,2021-05-18,Active,International Recruitment,Administration,,HR Staff,,
DUD000007,Head Office,Hiroshi,Watanabe,1985-12-24,Female,Japan,Bachelor's Degree,Kanagawa,Fujisawa,4,4,2022-10-22,2022-10-22,Active,International Recruitment,Operations,,Recruitment Staff,,
DUD000008,Head Office,Ayumi,Nakamura,1977-07-05,Female,Japan,Bachelor's Degree,Tokyo,Matsudo,4,4,2021-01-24,2021-01-24,On Leave,Recruitment Agency,HR Staff,,Recruitment Staff,,
DUD000009,Head Office,Hiroshi,Watanabe,1984-07-15,Male,Japan,Bachelor's Degree,Kanagawa,Kawasaki,4,4,2024-02-28,2024-02-28,Active,Recruitment Agency,Recruitment Staff,,Recruitment Staff,,
DUD000010,Head Office,Ayumi,Nakamura,1994-03-21,Male,Japan,Bachelor's Degree,Chiba,Kawagoe,4,4,2022-05-24,2022-05-24,Active,Social Media,Finance,,HR Staff,,
DUD000011,Head Office,Kenji,Sato,1982-03-06,Male,Japan,Bachelor's Degree,Tokyo,Sagamihara,4,4,2024-01-28,2024-01-28,Active,Job Fair,Finance,,Operations,,
DUD000012,Head Office,Naoki,Suzuki,1980-02-20,Male,Japan,Bachelor's Degree,Chiba,Nerima,4,4,2022-05-08,2022-05-08,Offboarded,Teacher Referral,Recruitment Staff,,Finance,,
DUD000013,Head Office,Kenji,Sato,1997-06-15,Female,Japan,Bachelor's Degree,Tokyo,Urayasu,4,4,2023-04-18,2023-04-18,Offboarded,Social Media,Operations,,Recruitment Staff,,
DUD000014,Head Office,Yuki,Tanaka,1998-10-16,Female,Japan,Bachelor's Degree,Chiba,Yokohama,4,4,2021-05-05,2021-05-05,Active,Job Board,Administration,,Administration,,
DUD000015,Head Office,Yuki,Tanaka,1978-07-14,Female,Japan,Bachelor's Degree,Kanagawa,Hachioji,4,4,2019-07-28,2019-07-28,Active,LinkedIn,Recruitment Staff,,Finance,,
DUD000016,Head Office,Hiroshi,Watanabe,1993-12-24,Female,Japan,Bachelor's Degree,Saitama,Matsudo,4,4,2020-03-04,2020-03-04,Active,International Recruitment,Administration,,Finance,,
DUD000017,Head Office,Hiroshi,Watanabe,1985-01-29,Female,Japan,Bachelor's Degree,Chiba,Hachioji,4,4,2021-10-11,2021-10-11,Active,Indeed,Operations,,Recruitment Staff,,
DUD000018,Head Office,Kenji,Sato,1977-08-22,Female,Japan,Bachelor's Degree,Tokyo,Itabashi,4,4,2019-08-24,2019-08-24,Active,Job Board,Operations,,Recruitment Staff,,
DUD000019,Head Office,Naoki,Suzuki,1980-12-07,Male,Japan,Bachelor's Degree,Saitama,Sagamihara,4,4,2022-12-31,2022-12-31,Active,Indeed,HR Staff,,HR Staff,,
DUD000020,Head Office,Ayumi,Nakamura,1993-06-10,Male,Japan,Bachelor's Degree,Tokyo,Shinjuku,4,4,2021-08-30,2021-08-30,Active,Teacher Referral,Administration,,HR Staff,,
DUD000021,Head Office,Yuki,Tanaka,1995-02-15,Female,Japan,Bachelor's Degree,Kanagawa,Soka,4,4,2020-04-27,2020-04-27,Active,Employee Referral,Recruitment Staff,,HR Staff,,
DUD000022,Head Office,Mika,Yamamoto,1979-05-24,Female,Japan,Bachelor's Degree,Tokyo,Edogawa,4,4,2023-10-11,2023-10-11,Offboarded,LinkedIn,Finance,,Finance,,
DUD000023,Head Office,Mika,Yamamoto,1977-08-18,Female,Japan,Bachelor's Degree,Kanagawa,Ota,4,4,2020-06-11,2020-06-11,Offboarded,Recruitment Agency,Finance,,Administration,,
DUD000024,Head Office,Mika,Yamamoto,1996-10-30,Female,Japan,Bachelor's Degree,Saitama,Funabashi,4,4,2023-02-25,2023-02-25,Offboarded,Company Website,Operations,,Operations,,
DUD000025,Head Office,Kenji,Sato,1977-04-01,Male,Japan,Bachelor's Degree,Saitama,Hachioji,4,4,2023-06-10,2023-06-10,Active,Job Board,Recruitment Staff,,HR Staff,,
DUD000026,Head Office,Hiroshi,Watanabe,1985-07-20,Male,Japan,Bachelor's Degree,Tokyo,Kawaguchi,4,4,2019-08-18,2019-08-18,Active,Job Fair,HR Staff,,Finance,,
DUD000027,Head Office,Ayumi,Nakamura,1989-03-11,Male,Japan,Bachelor's Degree,Saitama,Funabashi,4,4,2022-07-09,2022-07-09,Active,Recruitment Agency,Finance,,Recruitment Staff,,
DUD000028,Head Office,Ayumi,Nakamura,1989-03-08,Female,Japan,Bachelor's Degree,Tokyo,Yamato,4,4,2022-11-12,2022-11-12,Active,Job Fair,HR Staff,,HR Staff,,
DUD000029,Head Office,Hiroshi,Watanabe,1980-12-10,Male,Japan,Bachelor's Degree,Tokyo,Koshigaya,4,4,2020-06-10,2020-06-10,Active,Recruitment Agency,Recruitment Staff,,Finance,,
DUD000030,Head Office,Hiroshi,Watanabe,1998-09-23,Female,Japan,Bachelor's Degree,Chiba,Koto,4,4,2023-03-11,2023-03-11,Active,Recruitment Agency,HR Staff,,HR Staff,,
DUD000031,Head Office,Ayumi,Nakamura,1987-08-22,Female,Japan,Bachelor's Degree,Chiba,Soka,4,4,2022-05-08,2022-05-08,Active,Social Media,Finance,,Administration,,
DUD000032,Head Office,Kenji,Sato,1987-05-31,Female,Japan,Bachelor's Degree,Tokyo,Funabashi,4,4,2019-10-07,2019-10-07,Active,International Recruitment,Administration,,Recruitment Staff,,
DUD000033,Head Office,Ayumi,Nakamura,1994-03-09,Female,Japan,Bachelor's Degree,Tokyo,Koto,4,4,2021-09-21,2021-09-21,Active,Social Media,HR Staff,,Administration,,
DUD000034,Head Office,Hiroshi,Watanabe,1980-09-19,Female,Japan,Bachelor's Degree,Chiba,Chiba,4,4,2022-05-06,2022-05-06,Active,University/College Partnership,Recruitment Staff,,Recruitment Staff,,
DUD000035,Head Office,Ayumi,Nakamura,1993-03-25,Female,Japan,Bachelor's Degree,Saitama,Kawagoe,4,4,2019-10-28,2019-10-28,Active,Teacher Referral,HR Staff,,Recruitment Staff,,
DUD000036,Head Office,Ayumi,Nakamura,1993-06-20,Female,Japan,Bachelor's Degree,Chiba,Saitama,4,4,2021-02-09,2021-02-09,Active,Teacher Referral,HR Staff,,Finance,,
DUD000037,Head Office,Yuki,Tanaka,1995-08-25,Male,Japan,Bachelor's Degree,Chiba,Tokorozawa,4,4,2020-05-13,2020-05-13,Active,Company Website,Recruitment Staff,,Finance,,
DUD000038,Head Office,Naoki,Suzuki,1987-07-10,Male,Japan,Bachelor's Degree,Kanagawa,Chiba,4,4,2020-10-22,2020-10-22,Offboarded,Job Board,Administration,,Recruitment Staff,,
DUD000039,Head Office,Hiroshi,Watanabe,1994-06-29,Male,Japan,Bachelor's Degree,Chiba,Yamato,4,4,2020-09-25,2020-09-25,Active,Social Media,HR Staff,,Finance,,
DUD000040,Head Office,Hiroshi,Watanabe,1994-07-24,Female,Japan,Bachelor's Degree,Saitama,Matsudo,4,4,2020-04-24,2020-04-24,Active,Job Board,Administration,,Operations,,
DUD000041,Head Office,Naoki,Suzuki,1988-06-21,Male,Japan,Bachelor's Degree,Kanagawa,Matsudo,4,4,2022-12-19,2022-12-19,On Leave,Other,Administration,,Operations,,
DUD000042,Head Office,Yuki,Tanaka,1992-01-03,Female,Japan,Bachelor's Degree,Chiba,Yamato,4,4,2020-04-27,2020-04-27,Active,Company Website,Administration,,Administration,,
DUD000043,Head Office,Yuki,Tanaka,1989-06-15,Male,Japan,Bachelor's Degree,Kanagawa,Atsugi,4,4,2021-08-28,2021-08-28,Active,Indeed,Operations,,Finance,,
DUD000044,Head Office,Ayumi,Nakamura,1987-09-24,Male,Japan,Bachelor's Degree,Tokyo,Soka,4,4,2020-03-13,2020-03-13,Active,Indeed,Recruitment Staff,,Recruitment Staff,,
DUD000045,Head Office,Kenji,Sato,1996-04-24,Female,Japan,Bachelor's Degree,Kanagawa,Atsugi,4,4,2019-07-04,2019-07-04,Active,Job Fair,Recruitment Staff,,Finance,,
DUD000046,Head Office,Mika,Yamamoto,1975-04-01,Female,Japan,Bachelor's Degree,Kanagawa,Kawagoe,4,4,2021-06-27,2021-06-27,Active,Other,Operations,,Finance,,
DUD000047,Head Office,Kenji,Sato,1980-06-11,Male,Japan,Bachelor's Degree,Saitama,Atsugi,4,4,2022-05-16,2022-05-16,Active,Social Media,Operations,,Operations,,
DUD000048,Head Office,Naoki,Suzuki,1997-08-23,Male,Japan,Bachelor's Degree,Kanagawa,Asaka,4,4,2023-06-25,2023-06-25,Offboarded,Employee Referral,Administration,,Recruitment Staff,,
DUD000049,Head Office,Ayumi,Nakamura,1998-05-20,Male,Japan,Bachelor's Degree,Saitama,Matsudo,4,4,2020-10-19,2020-10-19,Active,Job Board,Administration,,Recruitment Staff,,
DUD000050,Head Office,Naoki,Suzuki,1978-08-13,Female,Japan,Bachelor's Degree,Saitama,Wako,4,4,2021-02-16,2021-02-16,Active,Other,Recruitment Staff,,Recruitment Staff,,
DUD000051,Head Office,Kenji,Sato,1995-11-25,Male,Japan,Bachelor's Degree,Tokyo,Wako,4,4,2021-07-28,2021-07-28,Active,Teacher Referral,Operations,,HR Staff,,
DUD000052,Head Office,Hiroshi,Watanabe,1990-10-12,Male,Japan,Bachelor's Degree,Kanagawa,Yamato,4,4,2021-05-19,2021-05-19,Active,Other,Operations,,Operations,,
DUD000053,Head Office,Yuki,Tanaka,1994-07-20,Male,Japan,Bachelor's Degree,Tokyo,Fujisawa,4,4,2021-12-25,2021-12-25,Active,International Recruitment,Finance,,Recruitment Staff,,
DUD000054,Head Office,Mika,Yamamoto,1992-09-03,Female,Japan,Bachelor's Degree,Tokyo,Kawasaki,4,4,2019-12-18,2019-12-18,Offboarded,Employee Referral,Recruitment Staff,,HR Staff,,
DUD000055,Head Office,Naoki,Suzuki,1995-05-25,Male,Japan,Bachelor's Degree,Chiba,Fujisawa,4,4,2021-05-16,2021-05-16,Active,Teacher Referral,Administration,,HR Staff,,
DUD000056,Head Office,Mika,Yamamoto,1977-05-03,Male,Japan,Bachelor's Degree,Saitama,Shinjuku,4,4,2019-05-10,2019-05-10,Active,Company Website,Recruitment Staff,,Recruitment Staff,,
DUD000057,Head Office,Kenji,Sato,1980-08-30,Male,Japan,Bachelor's Degree,Tokyo,Asaka,4,4,2022-09-24,2022-09-24,Active,Other,Administration,,Administration,,
DUD000058,Head Office,Yuki,Tanaka,1980-02-20,Female,Japan,Bachelor's Degree,Chiba,Shinjuku,4,4,2022-08-23,2022-08-23,Active,Recruitment Agency,Operations,,Finance,,
DUD000059,Head Office,Mika,Yamamoto,1985-11-22,Female,Japan,Bachelor's Degree,Chiba,Shinjuku,4,4,2023-04-04,2023-04-04,Active,University/College Partnership,Operations,,Finance,,
DUD000060,Head Office,Ayumi,Nakamura,1990-04-22,Female,Japan,Bachelor's Degree,Kanagawa,Yokohama,4,4,2021-04-28,2021-04-28,Active,Teacher Referral,Administration,,Finance,,
DUD000061,Head Office,Ayumi,Nakamura,1998-05-28,Male,Japan,Bachelor's Degree,Kanagawa,Sagamihara,4,4,2020-02-08,2020-02-08,Active,Other,Operations,,Administration,,
DUD000062,Head Office,Naoki,Suzuki,1978-11-20,Male,Japan,Bachelor's Degree,Kanagawa,Asaka,4,4,2024-01-09,2024-01-09,Active,Job Fair,Operations,,Finance,,
DUD000063,Head Office,Naoki,Suzuki,1989-07-31,Female,Japan,Bachelor's Degree,Kanagawa,Koshigaya,4,4,2019-05-29,2019-05-29,Active,Recruitment Agency,Administration,,Administration,,
DUD000064,Head Office,Hiroshi,Watanabe,1975-06-16,Female,Japan,Bachelor's Degree,Tokyo,Wako,4,4,2023-03-07,2023-03-07,Offboarded,Employee Referral,Operations,,Recruitment Staff,,
DUD000065,Head Office,Ayumi,Nakamura,1997-01-06,Male,Japan,Bachelor's Degree,Tokyo,Nerima,4,4,2021-12-01,2021-12-01,Active,Indeed,Finance,,Recruitment Staff,,
DUD000066,Head Office,Naoki,Suzuki,1996-03-24,Male,Japan,Bachelor's Degree,Kanagawa,Ichikawa,4,4,2022-12-20,2022-12-20,Active,Other,Finance,,Administration,,
